(ALL INFORMATION IN THIS FILE WAS WRITTEN BY LUKA HERRERA)
Category,Title,Name,Experience,Role
Head Coach,Head Coach,Mike MacDonald,11 years (2nd year Head Coach),Manages the team and calls defensive plays
Head Coach,Assistant Head Coach,Leslie Frazier,26 years,Helps the head coach and provides administrative support
Coordinator,Offensive Coordinator,Klint Kubiak,12 years,Calls the offensive plays
Coordinator,Defensive Coordinator,Aden Durde,9 years,Manages defense
Coordinator,Special Teams Coordinator,Jay Harbaugh,5 years,Manages special team units
Position Coach,Run Game Coordinator/Senior Offensive Advisor,Rick Dennison,29 years,Oversees run game and related position groups
Position Coach,Offensive Passing Game Coordinator,Jamey Peetz,11 years,Helps offensive coordinator and schemes plays
Position Coach,Defensive Passing Game Coordinator/Defensive Backs Coach,Karl Scott,5 years,Coaches cornerbacks and oversees passing defense schemes
Position Coach,Offensive Line Coach,John Benton,33 years,Coaches offensive tackles and guards
Position Coach,Tight Ends Coach,Mack Brown,7 years,Coaches tight ends
Position Coach,Defensive Assistant/Linebackers,Josh Bynes,2 years,Helps defensive coordinator with linebackers
Position Coach,Offensive Assistant,Michael Bryne,2 years,Helps offensive coordinator
Position Coach,Defensive Intern,Rob Caprice,2 years,Helps defensive coaches
Position Coach,Assistant Special Teams,Devin Fitzimmons,11 years,Helps special teams coordinator
Position Coach,Defensive Line Coach,Justin Hinds,4 years,Coaches defensive tackles and edge players
Position Coach,Safeties Coach,Jeff Howard,13 years,Coaches strong and free safeties
Position Coach,Wide Receivers Coach,Frisman Jackson,7 years,Coaches wide receivers
Position Coach,Quarterbacks Coach,Andrew Janocko,13 years,Coaches and improves quarterbacks
Position Coach,Director of Player Performance and Development,Ivan Lewis,7 years,Oversees development of player personnel
Position Coach,Offensive Assistant/Quality Control - OL,Quinshon Odom,4 years,Helps offensive side and offensive line quality control
Position Coach,Inside Linebackers Coach,Kirk Olivadotti,23 years,Coaches middle linebackers
Position Coach,Run Game Specialist/Assistant Offensive Line,Justin Outten,11 years,Helps run game and offensive line coaches
Position Coach,Outside Linebackers Coach,Chris Partridge,2 years,Coaches outside linebackers
Position Coach,Offensive Assistant/Quarterbacks,Tyson Prince,3 years,Develops quarterbacks and helps offensive scheme
Position Coach,Defensive Assistant/Defensive Backs,Neiko Thorpe,3 years,Coaches defensive backs and helps defensive scheme
Position Coach,Head Strength Coach,Danny Van Dijk,7 years,Leads weightlifting and fitness of players
Position Coach,Associate Head Strength Coach,Mark Phillip,7 years,Oversees player weightlifting
Position Coach,Strength and Conditioning Assistant,Thomas Garcia,7 years,Oversees conditioning of players through workouts
Position Coach,Strength and Conditioning Assistant,Tim Ojeda,1 year,Helps the strength and conditioning coach
Position Coach,Strength and Conditioning Assistant,Jamie Yanchar,16 years,Helps coaching staff with player conditioning
