
Name, Position, Number
Elijah Arroyo,Tight End,18
AJ Barner,Tight End,88
Jake Bobo,Wide Receiver,19
Anthony Bradford,Guard,75
Coby Bryant,Safety,8
Charles Cross,Tackle,67
Sam Darnold,Quarterback,14
Michael Dickson,Punter,4
Nick Emmanwori,Safety,3
Derick Hall,Linebacker,58
Christian Haynes,Guard,64
George Holani,Running Back,36
Jared Ivey,Linebacker,51
Josh Jobe,Cornerback,29
Ernest Jones IV,Linebacker,13
Josh Jones,Guard/Tackle,74
Nick Kallerup,Tight End,89
Tyrice Knight,Linebacker,48
Cooper Kupp,Wide Receiver,10
DeMarcus Lawrence,Linebacker,0
Drew Lock,Quarterback,2
Julian Love,Safety,20
Abraham Lucas,Tackle,72
Boye Mafe,Linebacker,53
Rylie Mills,Defensive End,98
Jalen Milroe,Quarterback,6
Mike Morris,Defensive End,94
Byron Murphy II,Defensive Tackle,91
Jason Myers,Kicker,5
Uchenna Nwosu,Linebacker,7
Patrick O'Connell,Linebacker,52
Ty Okada,Safety,39
Olu Oluwatimi,Center,55
Connor O'Toole,Linebacker,57
Robbie Ouzts,Fullback,40
Brandon Pili,Nose Tackle,95
Nehemiah Pritchett,Cornerback,28
Jarran Reed,Nose Tackle,90
Mason Richman,Tackle/Guard,78
Brady Russell,Fullback,38
Eric Saubert,Tight End,81
Rashid Shaheed,Wide Receiver,22
Jaxon Smith-Njigba,Wide Receiver,11
Chris Stoll,Long Snapper,41
Jalen Sundell,Center,61
Chazz Surratt,Linebacker,44
Drake Thomas,Linebacker,42
Kenneth Walker III,Running Back,9
Leonard Williams,Defensive Tackle,99
Devon Witherspoon,Cornerback,21
Riq Woolen,Cornerback,27
Dareke Young,Wide Receiver,83
Grey Zabel,Guard,76
