position,name
Quarterbacks,Drew Lock
Linebackers,Ernest Jones IV
Linebackers,Tyrice Knight
Linebackers,DeMarcus Lawrence
Linebackers,Chazz Surratt
Linebackers,Drake Thomas
Cornerbacks,Josh Jobe
Cornerbacks,Devon Witherspoon
Cornerbacks,Riq Woolen
Safeties,Julian Love
Wide Receivers,Cooper Kupp
Wide Receivers,Rashid Shaheed
Wide Receivers,Jaxon Smith-Njigba
Wide Receivers,Dareke Young
Tight Ends,Nick Kallerup
Tight Ends,Eric Saubert
Tackles,Abraham Lucas
Tackles,Grey Zabel
Guards/Tackles,Josh Jones
Fullbacks,Brady Russell
Long Snappers,Chris Stoll
Centers,Jalen Sundell
Running Backs,Kenneth Walker III
Defensive Tackles,Leonard Williams
